timestamp,session_id,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,orientation_heading,gps_lat,gps_lng,step_detected,ground_truth_step_len
1700000000000,sess_01,0.12,0.45,9.81,0.01,0.02,0.01,21.5,-42.1,-12.3,45.0,40.7128,-74.0060,0,0.0
1700000000200,sess_01,0.45,1.20,12.4,0.15,0.04,0.08,21.4,-42.0,-12.2,45.2,40.7128,-74.0060,1,0.72
1700000000400,sess_01,0.10,0.30,8.90,-0.08,-0.02,-0.04,21.6,-42.2,-12.4,45.1,40.712805,-74.005995,0,0.0
1700000000600,sess_01,0.50,1.35,12.8,0.18,0.05,0.10,21.5,-42.1,-12.3,45.5,40.712810,-74.005990,1,0.74
1700000000800,sess_01,0.15,0.40,9.20,-0.05,-0.01,-0.03,21.7,-42.3,-12.5,45.4,40.712815,-74.005985,0,0.0
1700000001000,sess_01,0.48,1.25,12.6,0.16,0.04,0.09,21.4,-42.0,-12.2,45.6,40.712820,-74.005980,1,0.73
1700000001200,sess_02,0.11,0.42,9.75,0.02,0.01,0.02,20.5,-40.1,-11.3,90.0,40.7130,-74.0050,0,0.0
1700000001400,sess_02,0.42,1.18,12.2,0.14,0.03,0.07,20.4,-40.0,-11.2,90.2,40.7130,-74.00499,1,0.71
1700000001600,sess_02,0.08,0.28,8.85,-0.07,-0.02,-0.03,20.6,-40.2,-11.4,90.1,40.7130,-74.00498,0,0.0
1700000001800,sess_02,0.52,1.38,12.9,0.19,0.05,0.11,20.5,-40.1,-11.3,90.5,40.7130,-74.00497,1,0.75
