timestamp,session_id,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,orientation_heading,gps_lat,gps_lng,step_detected,ground_truth_step_len
1700000015795,sess_01_normal_walk,-0.1376,0.1174,9.3972,0.0366,0.004,0.0125,21.02,-41.63,-11.97,215.58,40.7137014,-74.005536,0,0.0
1700000015995,sess_01_normal_walk,-0.1273,0.155,9.4648,-0.0196,0.001,-0.0041,21.29,-41.99,-12.66,215.56,40.7137014,-74.005536,0,0.0
1700000016195,sess_01_normal_walk,-0.0535,0.2368,9.5606,0.0285,-0.012,0.0009,21.59,-42.55,-12.19,215.56,40.7137014,-74.005536,0,0.0
1700000016395,sess_01_normal_walk,-0.174,0.3847,9.4146,0.0466,0.0123,-0.0117,21.1,-41.92,-12.36,215.5,40.7137014,-74.005536,0,0.0
1700000016595,sess_01_normal_walk,0.5476,0.8241,12.5541,0.2364,0.0355,0.1163,21.52,-42.05,-12.62,216.09,40.7136962,-74.005541,1,0.715
1700000016795,sess_01_normal_walk,0.1101,0.3818,10.3735,0.0395,0.0039,0.0253,21.09,-42.4,-12.75,216.21,40.7136962,-74.005541,0,0.0
1700000016995,sess_01_normal_walk,-0.0445,0.1814,9.6004,0.0329,-0.0057,-0.0131,21.54,-42.46,-12.0,216.15,40.7136962,-74.005541,0,0.0
1700000017195,sess_01_normal_walk,0.1948,0.3317,9.2995,-0.0301,-0.0198,0.0189,21.71,-41.87,-12.03,216.24,40.7136962,-74.005541,0,0.0
1700000017395,sess_01_normal_walk,0.4792,0.8811,12.4581,0.2295,0.0574,0.0831,21.31,-42.27,-12.07,216.66,40.7136912,-74.0055459,1,0.695
1700000017595,sess_01_normal_walk,0.1549,0.2417,9.9751,-0.038,0.0085,0.0156,21.56,-41.83,-12.31,216.74,40.7136912,-74.0055459,0,0.0
1700000017795,sess_01_normal_walk,-0.029,0.1076,9.8373,-0.0392,-0.0187,0.0082,21.31,-42.09,-11.89,216.78,40.7136912,-74.0055459,0,0.0
1700000017995,sess_01_normal_walk,-0.0358,0.3267,9.5092,-0.0271,-0.0169,-0.0126,21.16,-41.67,-11.99,216.71,40.7136912,-74.0055459,0,0.0
1700000018195,sess_01_normal_walk,0.7357,1.3626,13.5768,0.128,0.0736,0.1039,21.9,-42.28,-12.69,217.23,40.7136858,-74.0055514,1,0.755
1700000018395,sess_01_normal_walk,-0.0292,0.3454,9.4835,0.0361,-0.0197,0.0006,21.42,-42.38,-12.68,217.24,40.7136858,-74.0055514,0,0.0
1700000018595,sess_01_normal_walk,0.1772,0.197,9.6151,0.0019,0.0081,-0.0082,21.97,-41.64,-12.55,217.19,40.7136858,-74.0055514,0,0.0
1700000018795,sess_01_normal_walk,-0.0796,0.1855,9.8067,-0.0463,0.0044,0.0002,21.05,-42.32,-11.89,217.2,40.7136858,-74.0055514,0,0.0
1700000018995,sess_01_normal_walk,0.3724,1.1426,12.7891,0.2478,0.0345,0.1172,21.24,-41.87,-12.43,217.78,40.7136804,-74.0055568,1,0.751
1700000019195,sess_01_normal_walk,0.0534,0.2607,9.9688,-0.041,0.0134,-0.0108,21.19,-42.56,-12.21,217.73,40.7136804,-74.0055568,0,0.0
1700000019395,sess_01_normal_walk,-0.1934,0.2536,10.0231,-0.0274,0.0058,-0.0195,21.69,-42.21,-11.86,217.63,40.7136804,-74.0055568,0,0.0
1700000019595,sess_01_normal_walk,-0.0636,0.134,9.375,0.0425,0.0151,-0.0145,21.66,-41.78,-12.24,217.56,40.7136804,-74.0055568,0,0.0
1700000019795,sess_01_normal_walk,0.4209,0.8652,13.3693,0.2346,0.074,0.1133,21.35,-41.87,-11.9,218.12,40.7136754,-74.0055621,1,0.717
1700000019995,sess_01_normal_walk,0.112,0.2926,10.2745,-0.0416,-0.0135,0.0239,21.61,-42.59,-12.7,218.24,40.7136754,-74.0055621,0,0.0
1700000020195,sess_01_normal_walk,-0.198,0.1482,10.0062,0.0049,0.0077,0.0091,21.22,-41.89,-12.56,218.29,40.7136754,-74.0055621,0,0.0
1700000020395,sess_01_normal_walk,0.0986,0.2949,9.6005,0.0349,0.0063,0.0041,21.09,-42.23,-12.53,218.31,40.7136754,-74.0055621,0,0.0
1700000020595,sess_01_normal_walk,0.7865,1.0752,12.798,0.2338,0.0579,0.1295,21.58,-42.11,-12.6,218.96,40.7136702,-74.0055676,1,0.73
1700000020795,sess_01_normal_walk,-0.0877,0.1073,10.0769,0.0145,-0.0129,0.0264,21.95,-41.69,-12.43,219.09,40.7136702,-74.0055676,0,0.0
1700000020995,sess_01_normal_walk,0.1713,0.2285,9.2285,0.0467,0.0185,0.0212,21.29,-42.21,-11.95,219.2,40.7136702,-74.0055676,0,0.0
1700000021195,sess_01_normal_walk,-0.1322,0.267,9.5903,0.0436,0.0078,0.0042,21.1,-41.98,-11.81,219.22,40.7136702,-74.0055676,0,0.0
1700000021395,sess_01_normal_walk,0.5592,1.4142,12.5902,0.2111,0.0618,0.1202,21.29,-41.79,-11.99,219.82,40.7136653,-74.005573,1,0.719
1700000021595,sess_01_normal_walk,0.1653,0.2534,10.2505,0.0002,0.0119,0.009,21.7,-41.8,-11.91,219.86,40.7136653,-74.005573,0,0.0
1700000021795,sess_01_normal_walk,-0.0498,0.1282,9.6156,0.0078,-0.0186,-0.0021,21.54,-42.31,-12.21,219.85,40.7136653,-74.005573,0,0.0
1700000021995,sess_01_normal_walk,-0.1851,0.3468,9.2466,-0.014,-0.0149,0.0013,21.77,-42.38,-12.18,219.86,40.7136653,-74.005573,0,0.0
1700000022195,sess_01_normal_walk,0.3258,1.1719,12.4807,0.1811,0.0582,0.1226,21.52,-42.28,-12.0,220.47,40.71366,-74.005579,1,0.768
1700000022395,sess_01_normal_walk,-0.0244,0.1235,9.535,-0.0475,0.0185,0.0202,21.7,-42.19,-12.63,220.57,40.71366,-74.005579,0,0.0
1700000022595,sess_01_normal_walk,-0.0999,0.2648,9.3977,0.0215,0.0064,-0.0132,21.95,-41.86,-12.25,220.51,40.71366,-74.005579,0,0.0
1700000022795,sess_01_normal_walk,-0.0322,0.1743,9.9441,-0.0144,0.0103,-0.0291,21.12,-42.55,-12.76,220.36,40.71366,-74.005579,0,0.0
1700000022995,sess_01_normal_walk,0.6518,1.1319,14.0209,0.1147,0.0495,0.0973,21.43,-42.2,-12.18,220.85,40.7136552,-74.0055844,1,0.704
1700000023195,sess_01_normal_walk,-0.1819,0.2124,9.9721,0.0126,0.0001,0.0214,21.66,-42.44,-12.73,220.95,40.7136552,-74.0055844,0,0.0
1700000023395,sess_01_normal_walk,-0.1894,0.2757,9.9809,0.044,0.003,-0.0067,21.64,-42.14,-12.25,220.92,40.7136552,-74.0055844,0,0.0
1700000023595,sess_01_normal_walk,-0.0456,0.3884,10.3398,0.0405,-0.0122,-0.0258,21.1,-42.58,-12.71,220.79,40.7136552,-74.0055844,0,0.0
1700000027350,sess_02_brisk_walk,0.1258,0.1846,9.2379,-0.0382,0.0079,0.0077,21.88,-41.86,-12.0,304.19,40.7119424,-74.006362,0,0.0
1700000027550,sess_02_brisk_walk,-0.129,0.3252,9.5484,0.0307,0.0196,-0.0052,21.37,-41.82,-12.46,304.17,40.7119424,-74.006362,0,0.0
1700000027750,sess_02_brisk_walk,0.1434,0.2287,10.3269,0.0251,0.0102,-0.0238,21.9,-42.09,-11.97,304.05,40.7119424,-74.006362,0,0.0
1700000027950,sess_02_brisk_walk,0.1582,0.2168,9.5941,-0.0489,0.0162,-0.0245,21.32,-41.65,-11.85,303.93,40.7119424,-74.006362,0,0.0
1700000028150,sess_02_brisk_walk,0.6159,1.1139,14.1863,0.144,0.0397,0.1173,21.79,-41.81,-12.71,304.51,40.7119467,-74.0063703,1,0.84
1700000028350,sess_02_brisk_walk,-0.177,0.2649,9.8033,-0.0058,0.0155,-0.0089,21.12,-42.46,-12.04,304.47,40.7119467,-74.0063703,0,0.0
1700000028550,sess_02_brisk_walk,-0.1596,0.1252,9.9519,0.0201,-0.0171,0.0193,21.71,-42.52,-12.72,304.56,40.7119467,-74.0063703,0,0.0
1700000028750,sess_02_brisk_walk,-0.0503,0.2112,10.394,0.0313,0.0179,0.0292,21.75,-42.22,-12.72,304.71,40.7119467,-74.0063703,0,0.0
1700000028950,sess_02_brisk_walk,0.5792,1.097,14.6752,0.236,0.0267,0.0993,21.47,-42.54,-12.68,305.21,40.7119507,-74.0063779,1,0.781
1700000029150,sess_02_brisk_walk,0.0597,0.3238,9.351,0.0083,0.0185,-0.0075,21.29,-41.73,-12.58,305.17,40.7119507,-74.0063779,0,0.0
1700000029350,sess_02_brisk_walk,-0.1951,0.391,10.3659,-0.0457,0.0156,0.0017,21.99,-42.53,-12.25,305.18,40.7119507,-74.0063779,0,0.0
1700000029550,sess_02_brisk_walk,0.0092,0.2888,10.3732,0.0196,-0.0018,0.0077,21.58,-41.7,-12.75,305.22,40.7119507,-74.0063779,0,0.0
1700000029750,sess_02_brisk_walk,0.7752,1.4232,13.4843,0.1683,0.0572,0.0777,21.46,-42.25,-12.22,305.6,40.7119549,-74.0063855,1,0.795
1700000029950,sess_02_brisk_walk,0.1898,0.3959,9.3033,0.0198,0.0014,-0.0114,21.81,-41.92,-12.64,305.55,40.7119549,-74.0063855,0,0.0
1700000030150,sess_02_brisk_walk,0.129,0.3849,10.3031,0.0226,0.0045,-0.0049,21.93,-41.73,-12.75,305.52,40.7119549,-74.0063855,0,0.0
1700000030350,sess_02_brisk_walk,-0.0494,0.3432,9.2416,0.0487,-0.014,0.0056,21.38,-41.63,-11.96,305.55,40.7119549,-74.0063855,0,0.0
1700000030550,sess_02_brisk_walk,0.5343,1.0904,14.822,0.141,0.0234,0.1365,22.0,-41.6,-12.24,306.23,40.7119594,-74.0063936,1,0.845
1700000030750,sess_02_brisk_walk,0.1779,0.3549,10.1328,-0.0253,-0.002,-0.0223,21.95,-41.99,-12.57,306.12,40.7119594,-74.0063936,0,0.0
1700000030950,sess_02_brisk_walk,0.0473,0.2074,10.016,-0.0386,0.0069,0.0012,21.77,-42.08,-11.95,306.13,40.7119594,-74.0063936,0,0.0
1700000031150,sess_02_brisk_walk,0.0244,0.363,9.8723,-0.0097,-0.0146,-0.0283,21.76,-41.98,-12.1,305.99,40.7119594,-74.0063936,0,0.0
1700000031350,sess_02_brisk_walk,0.3682,0.8102,13.3211,0.1526,0.0554,0.0892,21.9,-42.25,-12.29,306.43,40.7119638,-74.0064014,1,0.815
1700000031550,sess_02_brisk_walk,-0.0414,0.2866,10.1504,0.0362,0.018,-0.0212,21.93,-42.11,-12.54,306.33,40.7119638,-74.0064014,0,0.0
1700000031750,sess_02_brisk_walk,0.192,0.2478,9.761,-0.0171,0.0053,-0.0156,21.08,-42.47,-12.67,306.25,40.7119638,-74.0064014,0,0.0
1700000031950,sess_02_brisk_walk,-0.1445,0.2923,9.3923,-0.0318,-0.0062,0.0238,21.47,-41.93,-12.63,306.37,40.7119638,-74.0064014,0,0.0
1700000032150,sess_02_brisk_walk,0.3204,0.9183,13.2715,0.1418,0.0306,0.0589,21.46,-42.39,-12.44,306.66,40.711968,-74.006409,1,0.79
1700000032350,sess_02_brisk_walk,0.0762,0.1118,9.8141,0.0299,0.0051,-0.0251,21.87,-41.68,-12.74,306.54,40.711968,-74.006409,0,0.0
